20:23:31.898 [SpringApplicationShutdownHook] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:20, serverValue:34688}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:23:36.992 [main] INFO       c.h.journalApp.JournalApplication -------- Starting JournalApplication using Java 1.8.0_202 on LENOVO-PG02KN0K with PID 24048 (C:\Users\hemantp\Desktop\Spring Boot\journalApp\target\classes started by hemantp in C:\Users\hemantp\Desktop\Spring Boot\journalApp)
20:23:36.995 [main] INFO       c.h.journalApp.JournalApplication -------- The following 1 profile is active: "dev"
20:23:37.623 [main] INFO       o.s.d.r.c.RepositoryConfigurationDelegate -------- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
20:23:37.774 [main] INFO       o.s.d.r.c.RepositoryConfigurationDelegate -------- Finished Spring Data repository scanning in 146 ms. Found 2 MongoDB repository interfaces.
20:23:38.448 [main] INFO       o.s.b.w.e.tomcat.TomcatWebServer -------- Tomcat initialized with port(s): 8080 (http)
20:23:38.457 [main] INFO       o.a.coyote.http11.Http11NioProtocol -------- Initializing ProtocolHandler ["http-nio-8080"]
20:23:38.460 [main] INFO       o.a.catalina.core.StandardService -------- Starting service [Tomcat]
20:23:38.460 [main] INFO       o.a.catalina.core.StandardEngine -------- Starting Servlet engine: [Apache Tomcat/9.0.82]
20:23:38.600 [main] INFO       o.a.c.c.C.[.[localhost].[/journal] -------- Initializing Spring embedded WebApplicationContext
20:23:38.600 [main] INFO       o.s.b.w.s.c.ServletWebServerApplicationContext -------- Root WebApplicationContext: initialization completed in 1549 ms
20:23:39.921 [main] INFO       org.mongodb.driver.client -------- MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Oracle Corporation/1.8.0_202-b08"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='hp9769hp', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@4beabeec]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.vn7y1jw.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-3mdhmm-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
20:23:40.164 [main] INFO       org.mongodb.driver.cluster -------- Cluster description not yet available. Waiting for 30000 ms before timing out
20:23:40.920 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017 to client view of cluster
20:23:40.952 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017 to client view of cluster
20:23:40.954 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017 to client view of cluster
20:23:40.965 [main] INFO       org.mongodb.driver.cluster -------- No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@51b01550 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
20:23:41.478 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:6, serverValue:31265}] to ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017
20:23:41.478 [cluster-rtt-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:3, serverValue:32740}] to ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017
20:23:41.478 [cluster-rtt-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:2, serverValue:31265}] to ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017
20:23:41.478 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:1, serverValue:34657}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:23:41.478 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:4, serverValue:32740}] to ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017
20:23:41.478 [cluster-rtt-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:5, serverValue:34692}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:23:41.479 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Monitor thread successfully connected to server with description ServerDescription{address=ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=216393000, setName='atlas-3mdhmm-shard-0', canonicalAddress=ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, hosts=[ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az3'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=11, topologyVersion=TopologyVersion{processId=65d36140a826e5dce8634c70, counter=3}, lastWriteDate=Tue Feb 20 20:22:59 IST 2024, lastUpdateTimeNanos=88826343720400}
20:23:41.479 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Monitor thread successfully connected to server with description ServerDescription{address=ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=216378200, setName='atlas-3mdhmm-shard-0', canonicalAddress=ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, hosts=[ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az2'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff00000000000000d7, setVersion=11, topologyVersion=TopologyVersion{processId=65d35ffd37f8a9750f695cfb, counter=6}, lastWriteDate=Tue Feb 20 20:22:59 IST 2024, lastUpdateTimeNanos=88826343720300}
20:23:41.479 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Monitor thread successfully connected to server with description ServerDescription{address=ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=216388500, setName='atlas-3mdhmm-shard-0', canonicalAddress=ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017, hosts=[ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017], passives=[], arbiters=[], primary='ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='aps1-az1'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='AP_SOUTH_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=11, topologyVersion=TopologyVersion{processId=65d35e9afc7d5eda050eedb6, counter=4}, lastWriteDate=Tue Feb 20 20:22:59 IST 2024, lastUpdateTimeNanos=88826343723500}
20:23:41.483 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Setting max election id to 7fffffff00000000000000d7 from replica set primary ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:23:41.484 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Setting max set version to 11 from replica set primary ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:23:41.484 [cluster-ClusterId{value='65d4bcf3bcf15123724c4648', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.cluster -------- Discovered replica set primary ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:23:41.619 [main] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:7, serverValue:34687}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:23:41.942 [main] INFO       o.s.s.web.DefaultSecurityFilterChain -------- Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@1d0cac30, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@41ef1ea2, org.springframework.security.web.context.SecurityContextPersistenceFilter@40113163, org.springframework.security.web.header.HeaderWriterFilter@78fe204a, org.springframework.security.web.authentication.logout.LogoutFilter@4cffcc61, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@6707a4bf, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@39c85c1a, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@77db3d02, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5dfe23e8, org.springframework.security.web.session.SessionManagementFilter@c689973, org.springframework.security.web.access.ExceptionTranslationFilter@a6c54c3, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@5a13fcf3]
20:23:42.321 [main] INFO       o.s.b.w.e.tomcat.TomcatWebServer -------- Tomcat started on port(s): 8080 (http) with context path '/journal'
20:23:42.329 [main] INFO       c.h.journalApp.JournalApplication -------- Started JournalApplication in 5.85 seconds (JVM running for 6.471)
