20:25:37.801 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.hemantPandey.journalApp.service.UserDetailsServiceImplTests], using SpringBootContextLoader
20:25:37.810 [main] INFO       o.s.t.c.s.AbstractContextLoader -------- Could not detect default resource locations for test class [com.hemantPandey.journalApp.service.UserDetailsServiceImplTests]: no resource found for suffixes {-context.xml, Context.groovy}.
20:25:37.810 [main] INFO       o.s.t.c.s.AnnotationConfigContextLoaderUtils -------- Could not detect default configuration classes for test class [com.hemantPandey.journalApp.service.UserDetailsServiceImplTests]: UserDetailsServiceImplTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
20:25:37.903 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Found @SpringBootConfiguration com.hemantPandey.journalApp.JournalApplication for test class com.hemantPandey.journalApp.service.UserDetailsServiceImplTests
20:25:37.970 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
20:25:37.986 [main] INFO       o.s.b.t.c.SpringBootTestContextBootstrapper -------- Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@bff34c6, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1522d8a0, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@312ab28e, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@5644dc81, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@246f8b8b, org.springframework.test.context.support.DirtiesContextTestExecutionListener@278bb07e, org.springframework.test.context.transaction.TransactionalTestExecutionListener@4351c8c3, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@3381b4fc, org.springframework.test.context.event.EventPublishingTestExecutionListener@6bea52d4, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@11981797, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5c42d2b7, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@625abb97, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@5b1f29fa, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@aeab9a1, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@40f70521]
20:25:38.288 [main] INFO       c.h.j.s.UserDetailsServiceImplTests -------- Starting UserDetailsServiceImplTests using Java 21.0.2 on LENOVO-PG02KN0K with PID 4648 (started by hemantp in C:\Users\hemantp\Desktop\Spring Boot\journalApp)
20:25:38.288 [main] INFO       c.h.j.s.UserDetailsServiceImplTests -------- The following 1 profile is active: "dev"
20:25:38.828 [main] INFO       o.s.d.r.c.RepositoryConfigurationDelegate -------- Bootstrapping Spring Data MongoDB repositories in DEFAULT mode.
20:25:38.958 [main] INFO       o.s.d.r.c.RepositoryConfigurationDelegate -------- Finished Spring Data repository scanning in 125 ms. Found 2 MongoDB repository interfaces.
20:25:39.714 [main] INFO       org.mongodb.driver.client -------- MongoClient with metadata {"driver": {"name": "mongo-java-driver|sync|spring-boot", "version": "4.6.1"}, "os": {"type": "Windows", "name": "Windows 10", "architecture": "amd64", "version": "10.0"}, "platform": "Java/Eclipse Adoptium/21.0.2+13-LTS"} created with settings MongoClientSettings{readPreference=primary, writeConcern=WriteConcern{w=majority, wTimeout=null ms, journal=null}, retryWrites=true, retryReads=true, readConcern=ReadConcern{level=null}, credential=MongoCredential{mechanism=null, userName='hp9769hp', source='admin', password=<hidden>, mechanismProperties=<hidden>}, streamFactoryFactory=null, commandListeners=[], codecRegistry=ProvidersCodecRegistry{codecProviders=[ValueCodecProvider{}, BsonValueCodecProvider{}, DBRefCodecProvider{}, DBObjectCodecProvider{}, DocumentCodecProvider{}, IterableCodecProvider{}, MapCodecProvider{}, GeoJsonCodecProvider{}, GridFSFileCodecProvider{}, Jsr310CodecProvider{}, JsonObjectCodecProvider{}, BsonCodecProvider{}, EnumCodecProvider{}, com.mongodb.Jep395RecordCodecProvider@422ad5e2]}, clusterSettings={hosts=[127.0.0.1:27017], srvHost=cluster0.vn7y1jw.mongodb.net, srvServiceName=mongodb, mode=MULTIPLE, requiredClusterType=REPLICA_SET, requiredReplicaSetName='atlas-3mdhmm-shard-0', serverSelector='null', clusterListeners='[]', serverSelectionTimeout='30000 ms', localThreshold='30000 ms'}, socketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=0, receiveBufferSize=0, sendBufferSize=0}, heartbeatSocketSettings=SocketSettings{connectTimeoutMS=10000, readTimeoutMS=10000, receiveBufferSize=0, sendBufferSize=0}, connectionPoolSettings=ConnectionPoolSettings{maxSize=100, minSize=0, maxWaitTimeMS=120000, maxConnectionLifeTimeMS=0, maxConnectionIdleTimeMS=0, maintenanceInitialDelayMS=0, maintenanceFrequencyMS=60000, connectionPoolListeners=[], maxConnecting=2}, serverSettings=ServerSettings{heartbeatFrequencyMS=10000, minHeartbeatFrequencyMS=500, serverListeners='[]', serverMonitorListeners='[]'}, sslSettings=SslSettings{enabled=true, invalidHostNameAllowed=false, context=null}, applicationName='null', compressorList=[], uuidRepresentation=JAVA_LEGACY, serverApi=null, autoEncryptionSettings=null, contextProvider=null}
20:25:39.788 [cluster-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017 to client view of cluster
20:25:39.810 [cluster-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017 to client view of cluster
20:25:39.812 [cluster-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-srv-cluster0.vn7y1jw.mongodb.net] INFO       org.mongodb.driver.cluster -------- Adding discovered server ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017 to client view of cluster
20:25:39.997 [main] INFO       org.mongodb.driver.cluster -------- No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@7ac48e10 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out
20:25:40.332 [cluster-rtt-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:4, serverValue:32794}] to ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017
20:25:40.332 [cluster-rtt-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:5, serverValue:31321}] to ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017
20:25:40.332 [cluster-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:2, serverValue:34363}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
20:25:40.332 [cluster-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:3, serverValue:32788}] to ac-6y1uld4-shard-00-00.vn7y1jw.mongodb.net:27017
20:25:40.332 [cluster-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:6, serverValue:31313}] to ac-6y1uld4-shard-00-01.vn7y1jw.mongodb.net:27017
20:25:40.332 [cluster-rtt-ClusterId{value='65d4bd6b92c71b43114be7b0', description='null'}-ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017] INFO       org.mongodb.driver.connection -------- Opened connection [connectionId{localValue:1, serverValue:34721}] to ac-6y1uld4-shard-00-02.vn7y1jw.mongodb.net:27017
